Customer ID,Recency,Frequency,Monetary,Churn,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,165,33,372.86,1,1,2,2,5,Lost
12347,3,71,1323.32,0,4,3,3,10,Loyal
12348,74,20,222.16,0,2,2,1,5,At Risk
12349,43,102,2671.14,0,3,3,4,10,Loyal
12351,11,21,300.93,0,4,2,1,7,New Customers
12352,11,18,343.8,0,4,1,2,7,New Customers
12353,44,20,317.76,0,3,2,2,7,New Customers
12355,203,22,488.21000000000004,1,1,2,2,5,Lost
12356,16,84,3562.25,0,4,3,4,11,Loyal
12357,24,165,12079.99,0,3,4,4,11,Loyal
12358,11,58,2719.01,0,4,3,4,11,Loyal
12359,61,117,2563.36,0,2,4,4,10,At Risk
12360,15,88,1590.83,0,4,3,3,10,Loyal
12361,98,19,321.35,1,2,2,2,6,At Risk
12362,374,1,130.0,1,1,1,1,3,Lost
12366,269,3,500.24,1,1,1,2,4,Lost
12368,264,18,917.6999999999999,1,1,1,3,5,Lost
12369,49,93,1791.15,0,3,3,4,10,Loyal
12370,260,35,774.62,1,1,2,3,6,Lost
12371,45,104,2179.42,0,3,4,4,11,Loyal
12373,260,37,763.0500000000001,1,1,2,3,6,Lost
12374,57,50,2246.29,0,2,3,4,9,At Risk
12376,25,13,503.15,0,3,1,2,6,New Customers
12377,17,75,1798.2,0,4,3,4,11,Loyal
12378,198,82,1407.7,1,1,3,3,7,Can't Lose Them
12379,58,41,767.98,0,2,2,3,7,At Risk
12380,101,173,6951.49,1,2,4,4,10,At Risk
12385,15,65,1938.4,0,4,3,4,11,Loyal
12386,2,8,258.9,0,4,1,1,6,New Customers
12387,51,9,143.94,0,3,1,1,5,New Customers
12388,81,46,1120.45,0,2,3,3,8,At Risk
12389,38,49,1433.33,0,3,3,3,9,Loyal
12391,100,181,2312.53,1,2,4,4,10,At Risk
12392,227,7,234.75000000000003,1,1,1,1,3,Lost
12393,18,43,816.85,0,4,2,3,9,New Customers
12395,7,98,2048.64,0,4,3,4,11,Loyal
